Grid Names,West Boundary,East Boundary,North Boundary,South Boundary,geometry,Speed_Limit,Traffic_Volume,Traffic_Cameras,Traffic_Signals,Traffic_Signs,Accidents
grid38,-114.1790287,-114.1334396,50.9167426,50.8797823,"POLYGON ((-114.1790287 50.9167426, -114.1790287 50.8797823, -114.1334396 50.8797823, -114.1334396 50.9167426, -114.1790287 50.9167426))",70.07559343368999,12297.07897524688,0.0,0.0,241.0,6.0
grid39,-114.1790287,-114.1334396,50.8797823,50.842822,"POLYGON ((-114.1790287 50.8797823, -114.1790287 50.842822, -114.1334396 50.842822, -114.1334396 50.8797823, -114.1790287 50.8797823))",,,0.0,0.0,0.0,0.0
grid40,-114.1334396,-114.0878505,51.212425,51.175464700000006,"POLYGON ((-114.1334396 51.212425, -114.1334396 51.17546470000001, -114.0878505 51.17546470000001, -114.0878505 51.212425, -114.1334396 51.212425))",60.0,3097.3752418273084,0.0,2.0,644.0,2.0
grid41,-114.1334396,-114.0878505,51.175464700000006,51.1385044,"POLYGON ((-114.1334396 51.17546470000001, -114.1334396 51.1385044, -114.0878505 51.1385044, -114.0878505 51.17546470000001, -114.1334396 51.17546470000001))",71.55076376517432,35055.06252318138,2.0,24.0,3087.0,79.0
grid42,-114.1334396,-114.0878505,51.1385044,51.1015441,"POLYGON ((-114.1334396 51.1385044, -114.1334396 51.1015441, -114.0878505 51.1015441, -114.0878505 51.1385044, -114.1334396 51.1385044))",70.24038429522683,19411.215406718016,0.0,7.0,963.0,23.0
grid43,-114.1334396,-114.0878505,51.1015441,51.0645838,"POLYGON ((-114.1334396 51.1015441, -114.1334396 51.0645838, -114.0878505 51.0645838, -114.0878505 51.1015441, -114.1334396 51.1015441))",64.50152073107954,25164.268570731798,3.0,49.0,6781.0,161.0
grid44,-114.1334396,-114.0878505,51.0645838,51.027623500000004,"POLYGON ((-114.1334396 51.0645838, -114.1334396 51.0276235, -114.0878505 51.0276235, -114.0878505 51.0645838, -114.1334396 51.0645838))",59.93187266963288,25520.14988591835,8.0,77.0,12676.0,326.0
grid45,-114.1334396,-114.0878505,51.027623500000004,50.9906632,"POLYGON ((-114.1334396 51.0276235, -114.1334396 50.9906632, -114.0878505 50.9906632, -114.0878505 51.0276235, -114.1334396 51.0276235))",66.1820079024424,41599.7572495015,3.0,28.0,5722.0,303.0
grid46,-114.1334396,-114.0878505,50.9906632,50.953702899999996,"POLYGON ((-114.1334396 50.9906632, -114.1334396 50.9537029, -114.0878505 50.9537029, -114.0878505 50.9906632, -114.1334396 50.9906632))",62.55640056217122,23564.87435538029,2.0,26.0,3199.0,88.0
grid47,-114.1334396,-114.0878505,50.953702899999996,50.9167426,"POLYGON ((-114.1334396 50.9537029, -114.1334396 50.9167426, -114.0878505 50.9167426, -114.0878505 50.9537029, -114.1334396 50.9537029))",67.7311891377677,15875.667489922285,0.0,13.0,2700.0,46.0
grid48,-114.1334396,-114.0878505,50.9167426,50.8797823,"POLYGON ((-114.1334396 50.9167426, -114.1334396 50.8797823, -114.0878505 50.8797823, -114.0878505 50.9167426, -114.1334396 50.9167426))",64.58005621824184,12072.331099058256,0.0,16.0,2409.0,50.0
grid49,-114.1334396,-114.0878505,50.8797823,50.842822,"POLYGON ((-114.1334396 50.8797823, -114.1334396 50.842822, -114.0878505 50.842822, -114.0878505 50.8797823, -114.1334396 50.8797823))",,1999.9999999999998,0.0,0.0,54.0,0.0
grid50,-114.0878505,-114.0422614,51.212425,51.175464700000006,"POLYGON ((-114.0878505 51.212425, -114.0878505 51.17546470000001, -114.0422614 51.17546470000001, -114.0422614 51.212425, -114.0878505 51.212425))",75.63653457155708,5331.032447516857,0.0,1.0,342.0,5.0
grid51,-114.0878505,-114.0422614,51.175464700000006,51.1385044,"POLYGON ((-114.0878505 51.17546470000001, -114.0878505 51.1385044, -114.0422614 51.1385044, -114.0422614 51.17546470000001, -114.0878505 51.17546470000001))",69.01350998187355,24744.307491110714,0.0,33.0,3376.0,94.0
grid52,-114.0878505,-114.0422614,51.1385044,51.1015441,"POLYGON ((-114.0878505 51.1385044, -114.0878505 51.1015441, -114.0422614 51.1015441, -114.0422614 51.1385044, -114.0878505 51.1385044))",75.77887737128007,38655.555112086535,1.0,33.0,3280.0,161.0
grid53,-114.0878505,-114.0422614,51.1015441,51.0645838,"POLYGON ((-114.0878505 51.1015441, -114.0878505 51.0645838, -114.0422614 51.0645838, -114.0422614 51.1015441, -114.0878505 51.1015441))",65.8028649715082,24067.662707277243,4.0,53.0,7761.0,238.0
grid54,-114.0878505,-114.0422614,51.0645838,51.027623500000004,"POLYGON ((-114.0878505 51.0645838, -114.0878505 51.0276235, -114.0422614 51.0276235, -114.0422614 51.0645838, -114.0878505 51.0645838))",50.06774557820849,15694.128368453688,22.0,223.0,33465.0,465.0
grid55,-114.0878505,-114.0422614,51.027623500000004,50.9906632,"POLYGON ((-114.0878505 51.0276235, -114.0878505 50.9906632, -114.0422614 50.9906632, -114.0422614 51.0276235, -114.0878505 51.0276235))",62.25907920447824,29855.286686244268,9.0,61.0,7204.0,307.0
grid56,-114.0878505,-114.0422614,50.9906632,50.953702899999996,"POLYGON ((-114.0878505 50.9906632, -114.0878505 50.9537029, -114.0422614 50.9537029, -114.0422614 50.9906632, -114.0878505 50.9906632))",63.57784407148224,19338.114675607485,3.0,70.0,5268.0,225.0
grid57,-114.0878505,-114.0422614,50.953702899999996,50.9167426,"POLYGON ((-114.0878505 50.9537029, -114.0878505 50.9167426, -114.0422614 50.9167426, -114.0422614 50.9537029, -114.0878505 50.9537029))",67.51338012181468,31150.54830564936,5.0,34.0,3442.0,154.0
grid58,-114.0878505,-114.0422614,50.9167426,50.8797823,"POLYGON ((-114.0878505 50.9167426, -114.0878505 50.8797823, -114.0422614 50.8797823, -114.0422614 50.9167426, -114.0878505 50.9167426))",66.88835250538932,21622.183758504718,3.0,33.0,3905.0,111.0
grid59,-114.0878505,-114.0422614,50.8797823,50.842822,"POLYGON ((-114.0878505 50.8797823, -114.0878505 50.842822, -114.0422614 50.842822, -114.0422614 50.8797823, -114.0878505 50.8797823))",63.08104219389728,4181.113222788944,1.0,1.0,303.0,7.0
grid60,-114.0422614,-113.9966723,51.212425,51.175464700000006,"POLYGON ((-114.0422614 51.212425, -114.0422614 51.17546470000001, -113.9966723 51.17546470000001, -113.9966723 51.212425, -114.0422614 51.212425))",90.21718937665491,72913.83933523957,0.0,0.0,52.0,22.0
grid61,-114.0422614,-113.9966723,51.175464700000006,51.1385044,"POLYGON ((-114.0422614 51.17546470000001, -114.0422614 51.1385044, -113.9966723 51.1385044, -113.9966723 51.17546470000001, -114.0422614 51.17546470000001))",79.69783227896203,40158.324763905046,2.0,15.0,1405.0,55.0
grid62,-114.0422614,-113.9966723,51.1385044,51.1015441,"POLYGON ((-114.0422614 51.1385044, -114.0422614 51.1015441, -113.9966723 51.1015441, -113.9966723 51.1385044, -114.0422614 51.1385044))",73.18576887321689,25173.153034984378,0.0,6.0,267.0,25.0
grid63,-114.0422614,-113.9966723,51.1015441,51.0645838,"POLYGON ((-114.0422614 51.1015441, -114.0422614 51.0645838, -113.9966723 51.0645838, -113.9966723 51.1015441, -114.0422614 51.1015441))",70.13678019271383,48025.78013594164,6.0,36.0,2475.0,354.0
grid64,-114.0422614,-113.9966723,51.0645838,51.027623500000004,"POLYGON ((-114.0422614 51.0645838, -114.0422614 51.0276235, -113.9966723 51.0276235, -113.9966723 51.0645838, -114.0422614 51.0645838))",75.46236081083723,51109.42968037787,5.0,38.0,5590.0,362.0
grid65,-114.0422614,-113.9966723,51.027623500000004,50.9906632,"POLYGON ((-114.0422614 51.0276235, -114.0422614 50.9906632, -113.9966723 50.9906632, -113.9966723 51.0276235, -114.0422614 51.0276235))",77.34274876000921,49567.613069336025,5.0,19.0,1813.0,297.0
grid66,-114.0422614,-113.9966723,50.9906632,50.953702899999996,"POLYGON ((-114.0422614 50.9906632, -114.0422614 50.9537029, -113.9966723 50.9537029, -113.9966723 50.9906632, -114.0422614 50.9906632))",73.75277951982532,42600.36000934236,3.0,34.0,3147.0,149.0
grid67,-114.0422614,-113.9966723,50.953702899999996,50.9167426,"POLYGON ((-114.0422614 50.9537029, -114.0422614 50.9167426, -113.9966723 50.9167426, -113.9966723 50.9537029, -114.0422614 50.9537029))",72.48340934227627,44929.765225137366,0.0,18.0,2693.0,96.0
grid68,-114.0422614,-113.9966723,50.9167426,50.8797823,"POLYGON ((-114.0422614 50.9167426, -114.0422614 50.8797823, -113.9966723 50.8797823, -113.9966723 50.9167426, -114.0422614 50.9167426))",74.20774812659853,32644.070707686027,1.0,6.0,1489.0,27.0
grid69,-114.0422614,-113.9966723,50.8797823,50.842822,"POLYGON ((-114.0422614 50.8797823, -114.0422614 50.842822, -113.9966723 50.842822, -113.9966723 50.8797823, -114.0422614 50.8797823))",74.01328758844797,13212.597891394036,1.0,5.0,1487.0,17.0
